T1_Landuse,T2_Landuse,T1_Year,T2_Year,Inventory Age
Abandoned Agriculture,Abandoned Agriculture,1994,2006,21
Abandoned Agriculture,Abandoned Agriculture,1995,2006,22
Abandoned Agriculture,Abandoned Agriculture,1995,2008,22
Abandoned Agriculture,Abandoned Agriculture,1997,2006,24
Abandoned Agriculture,Abandoned Agriculture,1997,2007,24
Abandoned Agriculture,Abandoned Agriculture,1997,2008,24
Abandoned Agriculture,Abandoned Agriculture,1998,2006,25
Abandoned Agriculture,Abandoned Agriculture,1999,2002,26
Abandoned Agriculture,Cropland,1995,2006,22
Abandoned Agriculture,Cropland,1995,2008,22
Abandoned Agriculture,Cropland,1998,2006,25
Abandoned Agriculture,Forest,1995,2006,22
Abandoned Agriculture,Forest,1997,2006,24
Abandoned Agriculture,Plantations,1995,2006,22
Abandoned Agriculture,Plantations,1999,2002,26
Abandoned Agriculture,Settlement,1995,2006,22
Abandoned Agriculture,Settlement,1995,2008,22
Abandoned Agriculture,Settlement,1997,2006,24
Abandoned Agriculture,Trees,1995,2006,22
Abandoned Agriculture,Unimproved Pasture,1995,2006,22
Abandoned Agriculture,Unknown,1995,2006,22
Abandoned Agriculture,Water,1994,2006,21
Abandoned Agriculture,Water,1995,2006,22
Cropland,Abandoned Agriculture,1994,2006,1
Cropland,Abandoned Agriculture,1995,2006,2
Cropland,Abandoned Agriculture,1995,2008,2
Cropland,Abandoned Agriculture,1997,2006,4
Cropland,Cropland,1995,2006,2
Cropland,Cropland,1995,2008,2
Cropland,Cropland,1997,2007,4
Cropland,Cropland,1997,2008,4
Cropland,Cropland,1998,2006,5
Cropland,Cropland,1999,2002,6
Cropland,Forest,1995,2006,2
Cropland,Forest,1997,2008,4
Cropland,Orchards,1998,2006,5
Cropland,Settlement,1995,2006,2
Cropland,Trees,1994,2006,1
Cropland,Trees,1995,2006,2
Cropland,Trees,1997,2007,4
Cropland,Unimproved Pasture,1994,2006,1
Cropland,Unimproved Pasture,1995,2006,2
Cropland,Unimproved Pasture,1997,2006,4
Forest,Abandoned Agriculture,1995,2006,62
Forest,Abandoned Agriculture,1995,2008,62
Forest,Abandoned Agriculture,1997,2006,64
Forest,Trees,1995,2006,62
Forest,Trees,1997,2006,64
Forest,Unimproved Pasture,1994,2006,61
Forest,Unimproved Pasture,1995,2006,62
Forest,Unimproved Pasture,1997,2008,64
Orchards,Cropland,1995,2006,22
Orchards,Cropland,1995,2008,22
Orchards,Cropland,1997,2007,24
Orchards,Cropland,1998,2006,25
Orchards,Orchards,1995,2006,22
Orchards,Orchards,1995,2008,22
Orchards,Orchards,1997,2006,24
Orchards,Orchards,1997,2007,24
Orchards,Orchards,1997,2008,24
Orchards,Orchards,1998,2006,25
Orchards,Settlement,1995,2006,22
Orchards,Settlement,1995,2008,22
Pits/Quarries,Abandoned Agriculture,1995,2006,2
Pits/Quarries,Unimproved Pasture,1995,2006,2
Settlement,Abandoned Agriculture,1995,2006,2
Settlement,Orchards,1998,2006,5
Settlement,Settlement,1997,2007,4
Settlement,Trees,1995,2006,2
Settlement,Trees,1997,2007,4
Settlement,Unimproved Pasture,1995,2006,2
Settlement,Unimproved Pasture,1997,2008,4
Shrubs,Abandoned Agriculture,1995,2006,27
Shrubs,Cropland,1995,2006,27
Shrubs,Cropland,1997,2008,29
Shrubs,Cropland,1998,2006,30
Shrubs,Cropland,1999,2002,31
Shrubs,Settlement,1997,2007,29
Shrubs,Shrubs,1994,2006,26
Shrubs,Shrubs,1995,2006,27
Shrubs,Shrubs,1995,2008,27
Shrubs,Shrubs,1997,2006,29
Shrubs,Shrubs,1997,2007,29
Shrubs,Shrubs,1997,2008,29
Shrubs,Shrubs,1998,2006,30
Shrubs,Shrubs,1999,2002,31
Shrubs,Trees,1997,2007,29
Shrubs,Trees,1998,2006,30
Shrubs,Wetlands,1995,2006,27
Trees,Abandoned Agriculture,1995,2006,62
Trees,Abandoned Agriculture,1997,2006,64
Trees,Cropland,1994,2006,61
Trees,Cropland,1995,2006,62
Trees,Cropland,1995,2008,62
Trees,Cropland,1997,2006,64
Trees,Cropland,1997,2007,64
Trees,Cropland,1997,2008,64
Trees,Cropland,1998,2006,65
Trees,Cropland,1999,2002,66
Trees,Forest,1995,2006,62
Trees,Forest,1995,2008,62
Trees,Forest,1997,2006,64
Trees,Orchards,1998,2006,65
Trees,Pits/Quarries,1995,2006,62
Trees,Plantations,1995,2006,62
Trees,Settlement,1995,2006,62
Trees,Settlement,1997,2006,64
Trees,Settlement,1997,2007,64
Trees,Settlement,1997,2008,64
Trees,Settlement,1998,2006,65
Trees,Settlement,1999,2002,66
Trees,Shrubs,1997,2007,64
Trees,Trees,1994,2006,61
Trees,Trees,1995,2006,62
Trees,Trees,1995,2008,62
Trees,Trees,1997,2006,64
Trees,Trees,1997,2007,64
Trees,Trees,1997,2008,64
Trees,Trees,1998,2006,65
Trees,Trees,1999,2002,66
Trees,Unimproved Pasture,1995,2006,62
Trees,Unimproved Pasture,1998,2006,65
Trees,Unknown,1997,2006,64
Trees,Water,1994,2006,61
Trees,Water,1995,2006,62
Trees,Water,1998,2006,65
Trees,Wetlands,1995,2006,62
Unimproved Pasture,Abandoned Agriculture,1995,2006,2
Unimproved Pasture,Cropland,1994,2006,1
Unimproved Pasture,Cropland,1995,2006,2
Unimproved Pasture,Cropland,1997,2006,4
Unimproved Pasture,Cropland,1997,2007,4
Unimproved Pasture,Cropland,1997,2008,4
Unimproved Pasture,Cropland,1998,2006,5
Unimproved Pasture,Forest,1995,2006,2
Unimproved Pasture,Forest,1997,2008,4
Unimproved Pasture,Forest,1999,2002,6
Unimproved Pasture,Pits/Quarries,1995,2006,2
Unimproved Pasture,Plantations,1995,2006,2
Unimproved Pasture,Plantations,1997,2006,4
Unimproved Pasture,Settlement,1994,2006,1
Unimproved Pasture,Settlement,1995,2006,2
Unimproved Pasture,Settlement,1997,2006,4
Unimproved Pasture,Settlement,1997,2007,4
Unimproved Pasture,Trees,1995,2006,2
Unimproved Pasture,Trees,1997,2006,4
Unimproved Pasture,Unimproved Pasture,1994,2006,1
Unimproved Pasture,Unimproved Pasture,1995,2006,2
Unimproved Pasture,Unimproved Pasture,1997,2006,4
Unimproved Pasture,Unimproved Pasture,1997,2007,4
Unimproved Pasture,Unimproved Pasture,1997,2008,4
Unimproved Pasture,Unimproved Pasture,1998,2006,5
Unimproved Pasture,Unimproved Pasture,1999,2002,6
Unimproved Pasture,Unknown,1997,2006,4
Unimproved Pasture,Wetlands,1995,2006,2
Vineyards,Cropland,1998,2006,15
Vineyards,Vineyards,1995,2006,12
Vineyards,Vineyards,1995,2008,12
